Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Khris Middleton,MIL,79,36.1,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2,2016
LaMarcus Aldridge,SAS,74,30.6,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,18,2016
Kobe Bryant,LAL,66,28.2,0.6,3.1,3.7,2.8,0.9,0.2,2,1.7,17.6,2016
Rudy Gay,SAC,70,34,1.5,5,6.5,1.7,1.4,0.7,2,2.6,17.2,2016
Paul Millsap,ATL,81,32.7,2.4,6.6,9,3.3,1.8,1.7,2.4,2.9,17.1,2016
Ryan Anderson,NOP,66,30.4,2,4,6,1.1,0.6,0.4,1.4,1.7,17,2016
Giannis Antetokounmpo,MIL,80,35.3,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,2016
Jrue Holiday,NOP,65,28.2,0.4,2.6,3,6,1.4,0.3,2.6,2.3,16.8,2016
Pau Gasol,CHI,72,31.8,2.2,8.9,11,4.1,0.6,2,2.3,2.1,16.5,2016
Derrick Favors,UTA,62,32,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4,2016
Derrick Rose,CHI,66,31.8,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4,2016
J.J. Redick,LAC,75,28,0.1,1.7,1.9,1.4,0.6,0.1,1,1.8,16.3,2016
Andre Drummond,DET,81,32.9,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,16.2,2016
Kevin Love,CLE,77,31.5,1.9,8,9.9,2.4,0.8,0.5,1.8,2.1,16,2016
Victor Oladipo,ORL,72,33,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16,2016
Jeff Teague,ATL,79,28.5,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7,2016
Jordan Clarkson,LAL,79,32.3,1.2,2.8,4,2.4,1.1,0.1,1.7,2.1,15.5,2016
Evan Fournier,ORL,79,32.5,0.4,2.4,2.8,2.7,1.2,0,1.7,2.7,15.4,2016
Lou Williams,LAL,67,28.5,0.5,2.1,2.5,2.5,0.9,0.3,1.6,1.6,15.3,2016
Greg Monroe,MIL,79,29.3,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3,2016
Zach Randolph,MEM,68,29.7,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3,2016
Al Horford,ATL,82,32.1,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2,15.2,2016
Avery Bradley,BOS,76,33.4,0.6,2.3,2.9,2.1,1.5,0.2,1.4,2.2,15.2,2016
Thaddeus Young,BRK,73,33,2.4,6.6,9,1.8,1.5,0.5,1.9,2.5,15.1,2016
Nicolas Batum,CHA,70,35,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9,2016
Tobias Harris,DET,76,33.1,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2,14.7,2016
Rodney Hood,UTA,79,32.2,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5,2016
Kentavious Caldwell-Pope,DET,76,36.7,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5,2016
Will Barton,DEN,82,28.7,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4,2016
Kristaps Porzingis,NYK,72,28.4,1.8,5.5,7.3,1.3,0.7,1.9,1.7,2.8,14.3,2016
Hassan Whiteside,MIA,73,29.1,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2,2016
Jae Crowder,BOS,73,31.6,1,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,2016
Jamal Crawford,LAC,79,26.9,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2,2016
Goran Dragic,MIA,72,32.8,0.8,3.1,3.8,5.8,1,0.2,2.6,2.6,14.1,2016
Marcus Morris,DET,80,35.7,1.1,3.9,5,2.5,0.8,0.3,1.8,2.1,14.1,2016
Deron Williams,DAL,65,32.4,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1,2016
Jabari Parker,MIL,76,31.7,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2,14.1,2016
Zach LaVine,MIN,82,28,0.3,2.5,2.8,3.1,0.8,0.2,1.9,2.4,14,2016
Darren Collison,SAC,74,30,0.4,1.9,2.3,4.3,1,0.1,1.8,1.9,14,2016
Draymond Green,GSW,81,34.7,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3,14,2016
Monta Ellis,IND,81,33.8,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8,2016
Devin Booker,PHX,76,27.7,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,13.8,2016
Dwight Howard,HOU,71,32.1,3.4,8.4,11.8,1.4,1,1.6,2.3,3.1,13.7,2016
Chandler Parsons,DAL,61,29.5,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,13.7,2016
Marcin Gortat,WAS,75,30.1,3,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5,2016
D'Angelo Russell,LAL,80,28.2,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2,2016
Emmanuel Mudiay,DEN,68,30.4,0.5,2.9,3.4,5.5,1,0.5,3.2,2.1,12.8,2016
Robert Covington,PHI,67,28.4,1,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8,2016
Arron Afflalo,NYK,71,33.4,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8,2016
Jonas Valanciunas,TOR,60,25.9,3.1,6,9.1,0.7,0.4,1.3,1.4,2.6,12.8,2016
DeAndre Jordan,LAC,77,33.7,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7,2016
Enes Kanter,OKC,82,21,3,5.1,8.1,0.4,0.3,0.4,1.4,2,12.7,2016
Trevor Ariza,HOU,81,35.3,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,12.7,2016
Ish Smith,PHI,77,29.1,0.6,3.4,4,6.5,1.1,0.3,2.3,1.7,12.6,2016
Serge Ibaka,OKC,78,32.1,1.8,5,6.8,0.8,0.5,1.9,1.4,2.7,12.6,2016
Wesley Matthews,DAL,78,33.9,0.3,2.7,3.1,1.9,1,0.2,1,2.3,12.5,2016
Kenneth Faried,DEN,67,25.3,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,12.5,2016
J.R. Smith,CLE,77,30.7,0.6,2.3,2.8,1.7,1.1,0.3,0.8,2.6,12.4,2016
Luol Deng,MIA,74,32.4,1.5,4.5,6,1.9,1,0.4,1.1,1.6,12.3,2016
Gary Harris,DEN,76,32.1,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3,2016
Joe Johnson,MIA,81,33.4,0.6,3,3.6,3.9,0.8,0,2,1.8,12.2,2016
Mirza Teletovic,PHX,79,21.3,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2,12.2,2016
George Hill,IND,74,34.1,0.8,3.2,4,3.5,1.1,0.2,1.4,2,12.1,2016
Markieff Morris,WAS,64,25.5,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12,2016
Rajon Rondo,SAC,72,35.2,1.1,5,6,11.7,2,0.1,3.9,2.4,11.9,2016
Tony Parker,SAS,72,27.5,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9,2016
Omri Casspi,SAC,69,27.3,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8,2016
Nikola Mirotic,CHI,66,24.9,0.9,4.6,5.5,1.5,0.9,0.7,1.5,2.3,11.8,2016
C.J. Miles,IND,64,22.9,0.4,2.3,2.7,1,0.8,0.5,1.1,2.2,11.8,2016
Jeff Green,LAC,80,28.2,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2,11.7,2016
Harrison Barnes,GSW,66,30.9,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7,2016
Jeremy Lin,CHA,78,26.3,0.5,2.7,3.2,3,0.7,0.5,1.9,2.1,11.7,2016
Marvin Williams,CHA,81,28.9,1.6,4.9,6.4,1.4,0.7,1,0.8,1.6,11.7,2016
Kent Bazemore,ATL,75,27.8,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6,2016
Otto Porter,WAS,75,30.3,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,11.6,2016
Julius Randle,LAL,81,28.2,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3,11.3,2016
Bojan Bogdanovic,BRK,79,26.8,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2,2016
Nerlens Noel,PHI,67,29.3,2.3,5.8,8.1,1.8,1.8,1.5,2.4,2.9,11.1,2016
Dennis Schroder,ATL,80,20.3,0.3,2.2,2.5,4.4,0.9,0.1,2.3,1.7,11,2016
Isaiah Canaan,PHI,77,25.5,0.3,2,2.3,1.8,0.7,0.2,1.2,1.7,11,2016
J.J. Barea,DAL,74,22.5,0.4,1.7,2.1,4.1,0.4,0,1.5,1.5,10.9,2016
Elfrid Payton,ORL,73,29.4,1.1,2.5,3.6,6.4,1.2,0.3,2.4,2.2,10.7,2016
Trey Burke,UTA,64,21.3,0.3,1.5,1.8,2.3,0.5,0.1,1.2,1.3,10.6,2016
Evan Turner,BOS,81,28,0.6,4.3,4.9,4.4,1,0.3,2.1,1.7,10.5,2016
Shabazz Muhammad,MIN,82,20.5,1.2,2,3.3,0.6,0.3,0.1,0.9,1.1,10.5,2016
Ersan Ilyasova,ORL,74,25.4,1.9,3.5,5.4,0.9,0.7,0.4,1,2.3,10.4,2016
Myles Turner,IND,60,22.8,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,10.3,2016
Jared Sullinger,BOS,81,23.6,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3,2016
Mario Chalmers,MEM,61,22.5,0.4,2.2,2.6,3.8,1.4,0.2,1.8,3,10.3,2016
Allen Crabbe,POR,81,26,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3,2016
Robin Lopez,NYK,82,27.1,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3,2016
Marco Belinelli,SAC,68,24.6,0.1,1.6,1.7,1.9,0.5,0,1.2,1.3,10.2,2016
Al-Farouq Aminu,POR,82,28.5,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,2016
Gorgui Dieng,MIN,82,27.1,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1,2016
Ricky Rubio,MIN,76,30.6,0.5,3.8,4.3,8.7,2.1,0.1,2.5,2.6,10.1,2016
Matt Barnes,MEM,76,28.8,1.1,4.4,5.5,2.1,1,0.8,1.6,3.1,10,2016
Kelly Olynyk,BOS,69,20.2,1,3,4.1,1.5,0.8,0.5,1.1,2.4,10,2016
Nikola Jokic,DEN,80,21.7,2.3,4.7,7,2.4,1,0.6,1.3,2.6,9.9,2016
Ramon Sessions,WAS,82,20.3,0.3,2.2,2.5,2.9,0.6,0.1,1.4,1.2,9.9,2016
Terrence Ross,TOR,73,23.9,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9,2016
Patrick Beverley,HOU,71,28.7,1,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9,2016
Hollis Thompson,PHI,77,28,0.7,2.8,3.5,1.3,0.5,0.3,1,2.4,9.8,2016
Dion Waiters,OKC,78,27.6,0.5,2.1,2.6,2,1,0.2,1.5,1.8,9.8,2016
Jerami Grant,PHI,77,26.8,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7,2016
Marcus Thornton,WAS,61,18.2,0.6,1.8,2.5,1.4,0.8,0.1,0.8,1.5,9.7,2016
Courtney Lee,CHA,79,29.6,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,9.6,2016
Manu Ginobili,SAS,58,19.6,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,9.6,2016
Raymond Felton,DAL,80,27.4,0.5,2.8,3.2,3.5,0.8,0.2,1.5,1.8,9.5,2016
Doug McDermott,CHI,81,23,0.5,2,2.4,0.7,0.2,0.1,0.7,1.6,9.4,2016
Kevin Martin,SAS,55,19.9,0.3,1.7,2,1.1,0.5,0.1,1,1.5,9.3,2016
Derrick Williams,NYK,80,17.9,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,9.3,2016
Ian Mahinmi,IND,71,25.6,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3,2016
Kyle Korver,ATL,80,30,0.2,3.1,3.2,2,0.8,0.4,1.2,2,9.2,2016
Aaron Gordon,ORL,78,23.9,2,4.5,6.5,1.6,0.8,0.7,0.8,2,9.2,2016
Marcus Smart,BOS,61,27.3,1.2,2.9,4.2,3,1.5,0.3,1.3,3,9.1,2016
Mason Plumlee,POR,82,25.4,2.5,5.2,7.7,2.8,0.8,1,1.9,3.1,9.1,2016
Rudy Gobert,UTA,61,31.7,3.4,7.5,11,1.5,0.7,2.2,1.9,2.7,9.1,2016
Alex Len,PHX,78,23.3,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9,2016
Gerald Green,MIA,69,22.6,0.4,2,2.4,0.8,0.6,0.3,0.7,1.8,8.9,2016
Rodney Stuckey,IND,58,22,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,8.9,2016
Austin Rivers,LAC,67,21.8,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2,8.9,2016
Jordan Hill,IND,73,20.7,2.1,4,6.2,1.2,0.5,0.5,1.3,2.1,8.8,2016
Jeremy Lamb,CHA,66,18.6,0.7,3.2,3.8,1.2,0.6,0.5,0.8,1.6,8.8,2016
Cody Zeller,CHA,73,24.3,1.9,4.3,6.2,1,0.8,0.9,0.9,2.8,8.7,2016
Luis Scola,TOR,76,21.5,1.1,3.6,4.8,0.9,0.6,0.4,0.9,2.3,8.7,2016
Toney Douglas,NOP,61,20.7,0.4,1.9,2.3,2.6,1.1,0.1,1,2.1,8.7,2016
Gerald Henderson,POR,72,19.9,0.4,2.5,2.9,1,0.5,0.3,0.9,1.2,8.7,2016
Taj Gibson,CHI,73,26.5,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,8.6,2016
Tim Duncan,SAS,61,25.2,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2,8.6,2016
Zaza Pachulia,DAL,76,26.4,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6,2016
Patty Mills,SAS,81,20.5,0.3,1.6,2,2.8,0.7,0.1,0.9,1.3,8.5,2016
Jon Leuer,PHX,67,18.7,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,8.5,2016
Cory Joseph,TOR,80,25.6,0.5,2.1,2.6,3.1,0.8,0.2,1.3,1.6,8.5,2016
Nik Stauskas,PHI,73,24.8,0.3,2.2,2.5,1.9,0.6,0.3,1.3,1.6,8.5,2016
Meyers Leonard,POR,61,21.8,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3,8.4,2016
Tony Allen,MEM,64,25.3,1.6,3,4.6,1.1,1.7,0.3,1.2,2.7,8.4,2016
Lance Stephenson,MEM,69,19.9,0.6,2.7,3.2,1.9,0.6,0.1,1.4,2,8.3,2016
Lance Thomas,NYK,59,22.3,0.6,1.6,2.2,0.9,0.4,0.1,1,1.8,8.2,2016
Stanley Johnson,DET,73,23.1,0.8,3.4,4.2,1.6,0.8,0.2,1.6,2.4,8.1,2016
P.J. Tucker,PHX,82,31,2,4.2,6.2,2.2,1.3,0.2,1.4,2.5,8,2016
Steven Adams,OKC,80,25.2,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8,2016
Joffrey Lauvergne,DEN,59,17.6,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,7.9,2016
Jared Dudley,WAS,81,25.9,0.7,2.9,3.5,2.1,0.9,0.2,1,2.3,7.9,2016
Tristan Thompson,CLE,82,27.7,3.3,5.7,9,0.8,0.5,0.6,0.7,2.5,7.8,2016
Ben McLemore,SAC,68,21.2,0.5,1.7,2.2,1.2,0.8,0.1,1.5,2.1,7.8,2016
Wayne Ellington,BRK,76,21.2,0.3,2,2.3,1.1,0.6,0.1,0.6,1.1,7.7,2016
Langston Galloway,NYK,82,24.8,0.5,3,3.5,2.5,0.9,0.3,0.7,2.2,7.6,2016
Devin Harris,DAL,64,20,0.3,1.9,2.2,1.8,0.9,0.2,1,1.9,7.6,2016
Jose Calderon,NYK,72,28.1,0.3,2.9,3.2,4.2,0.9,0.1,1.2,1.9,7.6,2016
D.J. Augustin,DEN,62,19,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5,2016
Darrell Arthur,DEN,70,21.7,1.2,3,4.2,1.4,0.8,0.7,0.9,2.6,7.5,2016
E'Twaun Moore,CHI,59,21.4,0.3,1.9,2.3,1.7,0.6,0.3,0.9,1.7,7.5,2016
Matt Dellavedova,CLE,76,24.6,0.4,1.7,2.1,4.4,0.6,0.1,1.5,2.3,7.5,2016
Frank Kaminsky,CHA,81,21.1,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,7.5,2016
JaMychal Green,MEM,78,18.5,1.8,3,4.8,0.9,0.6,0.4,1.1,2.4,7.4,2016
Amir Johnson,BOS,79,22.8,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,7.3,2016
Garrett Temple,WAS,80,24.4,0.5,2.2,2.6,1.8,0.9,0.2,0.8,2.4,7.3,2016
Shane Larkin,BRK,78,22.4,0.4,1.9,2.3,4.4,1.2,0.2,1.9,1.6,7.3,2016
Danny Green,SAS,79,26.1,0.6,3.2,3.8,1.8,1,0.8,0.9,1.8,7.2,2016
Corey Brewer,HOU,82,20.4,0.5,1.9,2.4,1.3,1,0.2,1,2,7.2,2016
Jason Smith,ORL,76,15.5,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2,2016
Brandon Bass,LAL,66,20.3,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,7.2,2016
Tyson Chandler,PHX,66,24.5,2.7,6.1,8.7,1,0.5,0.7,1.4,2.2,7.2,2016
Aaron Brooks,CHI,69,16.1,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,2016
Marreese Speights,GSW,72,11.6,1.1,2.2,3.3,0.8,0.3,0.5,0.9,1.6,7.1,2016
David West,SAS,78,18,0.9,3,4,1.8,0.6,0.7,0.9,1.8,7.1,2016
Clint Capela,HOU,77,19.1,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7,2016
Bobby Portis,CHI,62,17.8,2,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7,2016
Andre Iguodala,GSW,65,26.6,0.8,3.2,4,3.4,1.1,0.3,1.2,1.6,7,2016
Willie Cauley-Stein,SAC,66,21.4,2,3.3,5.3,0.6,0.7,1,0.7,2.2,7,2016
Festus Ezeli,GSW,46,16.7,2,3.6,5.6,0.7,0.4,1.1,0.8,2,7,2016
Donald Sloan,BRK,61,21.6,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,7,2016
Patrick Patterson,TOR,79,25.6,1,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9,2016
Wesley Johnson,LAC,80,20.8,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,6.9,2016
Kosta Koufos,SAC,78,19,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8,2016
Vince Carter,MEM,60,16.8,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6,2016
Josh Richardson,MIA,52,21.3,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6,2016
Ed Davis,POR,81,20.8,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,2016
Justise Winslow,MIA,78,28.6,1,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4,2016
Thabo Sefolosha,ATL,75,23.4,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4,2016
Tim Hardaway Jr.,ATL,51,16.9,0.1,1.5,1.7,1,0.4,0.1,0.5,0.9,6.4,2016
Maurice Harkless,POR,78,18.7,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4,2016
Boris Diaw,SAS,76,18.2,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,2016
Leandro Barbosa,GSW,68,15.9,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,2016
Aron Baynes,DET,81,15.2,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,6.3,2016
Shaun Livingston,GSW,78,19.5,0.5,1.6,2.2,3,0.7,0.3,1,1.8,6.3,2016
Timofey Mozgov,CLE,76,17.4,1.4,3,4.4,0.4,0.3,0.8,0.9,2.1,6.2,2016
P.J. Hairston,MEM,66,19.9,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,6.2,2016
Mike Scott,ATL,75,15.3,0.7,2,2.7,1,0.3,0.2,0.6,1.4,6.2,2016
Paul Pierce,LAC,68,18.1,0.2,2.6,2.7,1,0.5,0.2,0.9,1.9,6.1,2016
Trey Lyles,UTA,80,17.3,0.7,3,3.7,0.7,0.3,0.2,0.8,1.4,6.1,2016
T.J. McConnell,PHI,81,19.8,0.5,2.6,3.1,4.5,1.2,0.1,1.7,1.4,6.1,2016
Channing Frye,CLE,70,17.1,0.5,2.8,3.3,1,0.4,0.4,0.6,1.8,6.1,2016
Tyler Zeller,BOS,60,11.8,1,1.9,3,0.5,0.2,0.4,0.8,1.6,6.1,2016
Mario Hezonja,ORL,79,17.9,0.4,1.9,2.2,1.4,0.5,0.2,1.2,1.6,6.1,2016
Dante Cunningham,NOP,80,24.6,0.7,2.2,3,1,0.5,0.4,0.5,2.2,6,2016
Josh Smith,HOU,55,16,0.9,2.6,3.5,1.6,0.6,0.9,1.4,2.1,6,2016
Jonathon Simmons,SAS,55,14.8,0.3,1.5,1.7,1.1,0.4,0.1,1,1.9,6,2016
Alexis Ajinca,NOP,59,14.6,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6,2016
Spencer Hawes,CHA,57,18.2,0.9,3.4,4.3,1.9,0.4,0.5,1,1.9,6,2016
Roy Hibbert,LAL,81,23.2,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9,2016
Raulzinho Neto,UTA,81,18.5,0.2,1.3,1.5,2.1,0.8,0,1.3,1.5,5.9,2016
Jason Terry,HOU,72,17.5,0.2,0.9,1.1,1.4,0.7,0.1,0.7,1.3,5.9,2016
Trevor Booker,UTA,79,20.7,2.1,3.6,5.7,1.1,0.7,0.5,1,2.1,5.9,2016
Markel Brown,BRK,62,15.8,0.4,1.6,2,1.5,0.6,0.2,0.9,1.5,5.9,2016
Randy Foye,OKC,81,20.3,0.3,1.6,1.9,2,0.5,0.4,1.1,1.6,5.9,2016
Dwight Powell,DAL,69,14.4,1.2,2.7,4,0.6,0.5,0.3,0.6,1.7,5.8,2016
Amar'e Stoudemire,MIA,52,14.7,1.2,3,4.3,0.5,0.3,0.8,0.9,1.8,5.8,2016
Iman Shumpert,CLE,54,24.4,0.6,3.2,3.8,1.7,1,0.4,1.1,2.2,5.8,2016
Ty Lawson,IND,66,21.4,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,5.7,2016
Jerian Grant,NYK,76,16.6,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6,2016
Anthony Morrow,OKC,68,13.6,0.1,0.8,0.9,0.4,0.3,0.1,0.2,0.9,5.6,2016
Norman Powell,TOR,49,14.8,0.3,1.9,2.3,1,0.6,0.2,0.7,1.2,5.6,2016
Richard Jefferson,CLE,74,17.9,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,5.5,2016
"Larry Nance, Jr.",LAL,63,20.1,1.6,3.3,5,0.7,0.9,0.4,0.7,2,5.5,2016
Bismack Biyombo,TOR,82,22,2.2,5.8,8,0.4,0.2,1.6,0.9,2.7,5.5,2016
Boban Marjanovic,SAS,54,9.4,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1,5.5,2016
Cole Aldrich,LAC,60,13.3,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,2016
Lavoy Allen,IND,79,20.2,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,5.4,2016
Andrew Bogut,GSW,70,20.7,1.7,5.3,7,2.3,0.5,1.6,1.2,3.2,5.4,2016
Ronnie Price,PHX,62,19.5,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3,2016
Anthony Tolliver,DET,72,18.6,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,5.3,2016
Tony Snell,CHI,64,20.3,0.3,2.8,3.1,1,0.2,0.3,0.8,1.6,5.3,2016
Quincy Acy,SAC,59,14.8,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,2016
Miles Plumlee,MIL,61,14.3,1.5,2.3,3.8,0.3,0.3,0.8,0.7,1.2,5.1,2016
Charlie Villanueva,DAL,62,10.7,0.4,2.1,2.5,0.4,0.3,0.2,0.5,1.1,5.1,2016
Nemanja Bjelica,MIN,60,17.9,0.8,2.7,3.5,1.4,0.4,0.3,0.8,2.6,5.1,2016
JaKarr Sampson,DEN,73,15.9,0.6,2,2.6,0.6,0.3,0.5,1,1.9,5.1,2016
James Johnson,TOR,57,16.2,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,5,2016
Cameron Payne,OKC,57,12.2,0.2,1.3,1.5,1.9,0.6,0.1,0.8,1.4,5,2016
Sasha Vujacic,NYK,61,14.9,0.4,2,2.4,1.4,0.6,0.1,0.7,1.4,4.9,2016
Andre Roberson,OKC,70,22.2,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,4.8,2016
Kyle O'Quinn,NYK,65,11.8,1.2,2.7,3.8,1.1,0.3,0.8,0.9,1.6,4.8,2016
Kyle Anderson,SAS,78,16,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5,2016
Alonzo Gee,NOP,73,22.4,0.8,2.5,3.4,1,0.9,0.2,0.8,2.3,4.5,2016
Dewayne Dedmon,ORL,58,12.2,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,2016
Steve Blake,DET,58,17,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4,2016
Jonas Jerebko,BOS,78,15.1,1,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4,2016
Thomas Robinson,BRK,71,12.9,1.9,3.1,5.1,0.6,0.5,0.5,1,1.6,4.3,2016
Brandon Rush,GSW,72,14.6,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2,2016
Joe Ingles,UTA,81,15.3,0.2,1.6,1.9,1.2,0.7,0,0.8,1.2,4.2,2016
Solomon Hill,IND,59,14.7,0.7,2.2,2.8,1,0.6,0.2,0.6,1.2,4.2,2016
Chase Budinger,PHX,66,14.1,0.7,1.6,2.3,1,0.5,0.2,0.7,0.9,4.1,2016
Brian Roberts,POR,51,9.2,0.1,0.7,0.8,1.1,0.2,0,0.5,0.7,4,2016
Omer Asik,NOP,68,17.3,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4,2016
Justin Anderson,DAL,55,11.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,2016
"Kelly Oubre, Jr.",WAS,63,10.7,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7,2016
James Jones,CLE,48,9.7,0.2,0.9,1,0.3,0.2,0.2,0.3,1,3.7,2016
Noah Vonleh,POR,78,15,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,3.6,2016
Ian Clark,GSW,66,8.8,0.2,0.8,1,1,0.3,0.2,0.7,0.9,3.6,2016
